startDate,endDate,containerName,vus,avgCpu,avgRam,succeedRequests,failedRequests,properResponseLength,wrongResponseLength,avg,min,med,max,p(90),p(95)
2024-09-16T03:42:04.000Z,2024-09-16T03:46:19.972Z,master-thesis-go-app-1,282,84.82255779363683,78542296.61538461,113157,0,113157,0,297.24457187361384,0.926965,101.825937,4415.664948,788.0322076,1001.4918158
2024-09-16T03:47:52.000Z,2024-09-16T03:52:11.276Z,master-thesis-go-app-1,287,85.69464278034518,72920930.46153846,115551,0,115551,0,300.2208027439798,0.902583,104.020276,3993.770976,807.119362,1000.076361
2024-09-16T03:53:43.000Z,2024-09-16T03:58:02.184Z,master-thesis-go-app-1,287,85.45266419435781,78367744,115667,0,115667,0,299.968096969429,0.944656,105.195871,3731.966498,805.9604498000002,1001.8910671999998
2024-09-16T03:59:34.000Z,2024-09-16T04:03:51.391Z,master-thesis-go-app-1,285,84.77214598383827,79808669.53846154,114728,0,114728,0,297.7840116644592,0.907066,99.316497,4350.431622,799.5942919,1000.5981068999996
2024-09-16T04:05:23.000Z,2024-09-16T04:09:38.454Z,master-thesis-go-app-1,282,84.92421020936413,75557494.15384616,113481,0,113481,0,296.3681520343049,0.926528,95.78181,3960.665389,795.957742,1001.271661
2024-09-16T04:11:10.000Z,2024-09-16T04:15:25.470Z,master-thesis-go-app-1,282,85.59431015686708,82515416.61538461,113096,0,113096,0,297.20707070115486,0.913637,98.06358800000001,4882.755148,808.832141,1001.879867
2024-09-16T04:16:57.000Z,2024-09-16T04:21:14.639Z,master-thesis-go-app-1,285,85.51490051654272,79670980.92307693,114605,0,114605,0,298.12303068794785,0.878037,101.863357,4898.927245,797.3370196000001,1015.0896021999988
2024-09-16T04:22:46.000Z,2024-09-16T04:27:01.879Z,master-thesis-go-app-1,282,85.60793354599878,76698860.3076923,113532,0,113532,0,296.08710066473435,0.922276,100.92882549999999,3889.336882,794.1437821000001,1001.0666778999998
2024-09-16T04:28:33.000Z,2024-09-16T04:32:50.839Z,master-thesis-go-app-1,285,85.17535966837137,76692480,114184,0,114184,0,298.7927223511,0.929003,105.5510425,4105.308118,812.0583314999999,1000.69355335
2024-09-16T04:34:22.000Z,2024-09-16T04:38:43.902Z,master-thesis-go-app-1,289,85.64676289863873,74542717.58490565,116208,0,116208,0,303.4637517079529,0.914602,101.588918,4698.509733,805.5573761,1003.3800209999993
