startDate,endDate,containerName,vus,avgCpu,avgRam,succeedRequests,failedRequests,properResponseLength,wrongResponseLength,avg,min,med,max,p(90),p(95)
2024-09-15T23:46:11.000Z,2024-09-15T23:51:44.504Z,master-thesis-python-app-1,369,61.31981453339962,31412957.6119403,57104,614,57104,614,590.5622700297998,0,381.2585945,59998.990329,411.8454053,822.2899057999992
2024-09-15T23:53:17.000Z,2024-09-15T23:58:54.512Z,master-thesis-python-app-1,373,62.577517691213586,31408670.11764706,58296,641,58296,641,604.8916346050664,0,382.655004,59998.082397,408.8674002,836.2501959999998
2024-09-16T00:00:27.000Z,2024-09-16T00:06:16.723Z,master-thesis-python-app-1,387,67.68109461881261,31423400.22857143,63384,684,63384,684,578.1103963651565,0,382.70202900000004,59998.705876,414.2893237,622.7893176499994
2024-09-16T00:07:49.000Z,2024-09-16T00:12:58.729Z,master-thesis-python-app-1,342,61.8780157418332,31216540.903225806,52750,477,52750,477,566.787773978449,0,379.184645,59998.382125,407.9641644000001,1248.074333299989
2024-09-16T00:14:31.000Z,2024-09-16T00:20:18.732Z,master-thesis-python-app-1,385,64.84031058069074,31437385.14285714,60861,623,60861,623,598.3437737436099,0,384.6513725,59996.214542,417.7269633000001,834.43843085
2024-09-16T00:21:51.000Z,2024-09-16T00:27:14.773Z,master-thesis-python-app-1,358,63.93264446835057,31404662.153846152,55689,572,55689,572,554.960264739356,0,380.794921,59997.455804,409.512993,830.438551
2024-09-16T00:28:47.000Z,2024-09-16T00:34:08.887Z,master-thesis-python-app-1,356,59.89220943430676,31413484.307692308,54343,581,54343,581,597.9267954662052,0,380.019162,59997.563093,406.6735879,834.6736138
2024-09-16T00:35:41.000Z,2024-09-16T00:41:28.893Z,master-thesis-python-app-1,385,61.615801197358486,31413101.714285713,59230,608,59230,608,618.8258392003714,0,382.4464795,59997.511842,414.84738300000004,826.6146546999993
2024-09-16T00:43:01.000Z,2024-09-16T00:48:44.912Z,master-thesis-python-app-1,380,66.09607692347718,31439649.391304348,61621,651,61621,651,609.099077886692,0,382.96396649999997,58978.437966,407.5915017,610.3298092
2024-09-16T00:50:18.000Z,2024-09-16T00:55:35.276Z,master-thesis-python-app-1,351,58.86336056733634,31399296,51317,527,51317,527,638.8193983145012,0,378.636305,59998.701665,407.0518957,833.8872938999999
